race_date,track,race_no,start_time,minutes_before,target_time,captured_at,capture_launch_time,offset_seconds,source_time,bet_type,combination,odds_low,odds_high,popularity,status,source_file,source_url
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-6-10,1351.4,1351.4,184,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-6-11,6757.0,6757.0,331,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-6-12,10135.5,10135.5,349,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-6-13,13514.0,13514.0,354,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-6-14,488.4,488.4,105,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-6-7,3118.6,3118.6,251,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-6-8,4504.6,4504.6,289,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-6-9,2133.7,2133.7,224,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-7-10,921.4,921.4,155,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-7-11,4054.2,4054.2,279,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,3-7-12,5791.7,5791.7,315,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
